Age;Attrition;Department;Education;EducationField;EnvironmentSatisfaction;Gender;HourlyRate;JobRole;MaritalStatus;MonthlyIncome;RelationshipSatisfaction;WorkLifeBalance;YearsSinceLastPromotion
35;No;Research & Development;2;Other;3;Male;75;Laboratory Technician;Divorced;1951;3;3;0
27;No;Research & Development;4;Life Sciences;4;Female;33;Laboratory Technician;Divorced;2341;4;3;0
26;Yes;Research & Development;3;Life Sciences;1;Male;48;Laboratory Technician;Single;2293;3;2;0
27;No;Sales;3;Life Sciences;4;Male;37;Sales Executive;Single;8726;4;3;1
30;No;Research & Development;2;Medical;3;Female;58;Laboratory Technician;Single;4011;4;3;3
41;Yes;Research & Development;3;Technical Degree;2;Female;49;Research Director;Married;19545;4;3;15
34;No;Sales;4;Marketing;2;Male;72;Sales Executive;Single;4568;3;3;8
37;No;Research & Development;2;Life Sciences;2;Male;73;Research Scientist;Married;3022;1;3;0
46;No;Sales;4;Marketing;1;Male;98;Sales Executive;Single;5772;3;3;0
35;No;Research & Development;1;Life Sciences;4;Male;36;Laboratory Technician;Married;2269;4;3;0
48;Yes;Research & Development;2;Life Sciences;1;Male;98;Laboratory Technician;Single;5381;4;3;0
28;Yes;Research & Development;4;Technical Degree;3;Male;50;Laboratory Technician;Single;3441;3;2;2
44;No;Sales;5;Marketing;2;Female;75;Sales Executive;Divorced;5454;3;2;1
35;No;Research & Development;2;Medical;3;Male;79;Healthcare Representative;Married;9884;3;3;2
26;No;Sales;3;Marketing;3;Female;47;Sales Executive;Married;4157;3;2;0
33;No;Research & Development;2;Life Sciences;1;Female;98;Research Director;Single;13458;3;3;8
35;No;Sales;5;Life Sciences;2;Male;71;Sales Executive;Married;9069;4;2;1
35;No;Research & Development;4;Medical;3;Female;30;Laboratory Technician;Married;4014;3;3;2
31;No;Research & Development;4;Life Sciences;4;Male;48;Laboratory Technician;Divorced;5915;4;2;1
37;No;Research & Development;4;Life Sciences;1;Male;51;Manufacturing Director;Divorced;5993;3;4;0
32;No;Research & Development;3;Medical;1;Male;33;Manufacturing Director;Married;6162;2;3;7
38;No;Research & Development;5;Life Sciences;4;Female;50;Laboratory Technician;Single;2406;4;3;9
50;No;Research & Development;2;Medical;2;Female;43;Research Director;Divorced;18740;4;2;13
59;No;Sales;3;Life Sciences;1;Female;99;Sales Executive;Single;7637;4;2;7
36;No;Research & Development;3;Technical Degree;3;Female;59;Healthcare Representative;Divorced;10096;2;3;12
55;No;Research & Development;3;Medical;4;Female;33;Manager;Divorced;14756;3;3;0
36;No;Research & Development;3;Life Sciences;2;Male;95;Manufacturing Director;Single;6499;3;3;0
45;No;Research & Development;3;Life Sciences;2;Male;59;Research Scientist;Divorced;9724;3;3;0
35;No;Research & Development;3;Medical;2;Male;79;Research Scientist;Married;2194;4;2;1
36;Yes;Research & Development;3;Medical;4;Male;79;Research Scientist;Married;3388;1;2;0
59;No;Sales;1;Life Sciences;1;Female;57;Sales Executive;Single;5473;4;2;1
29;No;Research & Development;3;Life Sciences;3;Male;76;Research Scientist;Married;2703;4;3;0
31;No;Research & Development;4;Medical;3;Male;87;Research Scientist;Single;2501;2;3;1
32;No;Research & Development;3;Life Sciences;2;Male;66;Research Scientist;Married;6220;2;3;0
36;No;Research & Development;3;Life Sciences;2;Female;55;Laboratory Technician;Married;3038;2;3;0
31;No;Research & Development;4;Life Sciences;3;Female;61;Manufacturing Director;Single;4424;4;3;1
35;No;Sales;4;Marketing;3;Male;32;Sales Executive;Single;4312;2;3;2
45;No;Research & Development;4;Other;4;Male;52;Research Director;Married;13245;2;4;0
37;No;Research & Development;4;Medical;1;Male;30;Research Director;Single;13664;1;4;0
46;No;Human Resources;2;Medical;2;Male;80;Human Resources;Divorced;5021;4;3;0
30;No;Research & Development;1;Life Sciences;4;Male;55;Laboratory Technician;Married;5126;3;2;3
35;No;Research & Development;3;Medical;2;Male;30;Research Scientist;Single;2859;1;3;0
55;No;Sales;2;Life Sciences;1;Male;70;Sales Executive;Married;10239;4;3;1
38;No;Research & Development;3;Medical;2;Female;79;Research Scientist;Divorced;5329;4;3;1
34;No;Research & Development;2;Medical;1;Male;94;Manufacturing Director;Married;4325;3;3;1
56;No;Research & Development;3;Life Sciences;4;Male;49;Manufacturing Director;Single;7260;1;2;0
23;No;Sales;1;Technical Degree;3;Male;62;Sales Representative;Divorced;2322;3;3;0
51;No;Research & Development;4;Life Sciences;4;Male;96;Laboratory Technician;Married;2075;2;3;0
30;No;Research & Development;3;Life Sciences;3;Male;99;Healthcare Representative;Married;4152;1;3;10
46;Yes;Sales;2;Medical;3;Male;64;Sales Executive;Single;9619;4;3;4
40;No;Research & Development;4;Life Sciences;3;Male;78;Healthcare Representative;Married;13503;4;2;11
51;No;Sales;4;Marketing;3;Male;71;Sales Executive;Single;5441;4;1;1
30;No;Sales;2;Medical;3;Female;63;Sales Executive;Divorced;5209;2;2;2
46;No;Research & Development;3;Medical;3;Male;40;Healthcare Representative;Married;10673;3;2;9
32;No;Sales;4;Medical;2;Male;87;Sales Executive;Single;5010;1;3;5
54;No;Research & Development;4;Technical Degree;1;Female;60;Research Director;Married;13549;1;1;0
24;No;Sales;2;Other;1;Female;33;Sales Executive;Married;4999;1;2;0
28;No;Sales;3;Medical;2;Male;43;Sales Executive;Married;4221;2;4;0
58;No;Sales;4;Medical;4;Male;37;Sales Executive;Single;13872;3;2;1
44;No;Research & Development;3;Medical;2;Male;67;Laboratory Technician;Married;2042;3;4;1
37;Yes;Human Resources;4;Human Resources;3;Male;63;Human Resources;Divorced;2073;4;3;0
32;No;Research & Development;1;Life Sciences;4;Male;71;Research Scientist;Single;2956;4;3;0
20;Yes;Research & Development;3;Life Sciences;4;Female;66;Laboratory Technician;Single;2926;2;3;1
34;No;Research & Development;4;Other;1;Female;41;Research Scientist;Single;4809;3;3;2
37;No;Research & Development;2;Life Sciences;3;Male;100;Healthcare Representative;Divorced;5163;4;4;0
59;No;Human Resources;4;Human Resources;3;Female;32;Manager;Married;18844;4;3;2
50;No;Research & Development;3;Life Sciences;1;Female;73;Research Director;Married;18172;1;2;0
25;Yes;Sales;3;Marketing;3;Male;46;Sales Executive;Single;5744;4;3;0
25;No;Research & Development;1;Medical;4;Male;64;Research Scientist;Married;2889;3;3;2
22;No;Research & Development;3;Medical;2;Female;59;Laboratory Technician;Single;2871;3;3;0
51;No;Research & Development;4;Medical;1;Female;30;Healthcare Representative;Single;7484;3;2;12
34;Yes;Research & Development;3;Life Sciences;1;Male;66;Laboratory Technician;Single;6074;4;3;0
54;No;Human Resources;3;Human Resources;4;Female;30;Manager;Single;17328;3;3;4
24;No;Research & Development;1;Life Sciences;2;Male;52;Laboratory Technician;Married;2774;3;3;1
34;No;Research & Development;4;Life Sciences;3;Female;45;Research Scientist;Divorced;4505;3;3;0
37;No;Sales;3;Life Sciences;3;Male;87;Sales Executive;Single;7428;1;3;1
34;No;Research & Development;3;Medical;3;Female;45;Manager;Single;11631;4;3;5
36;No;Sales;2;Technical Degree;2;Female;92;Sales Executive;Married;9738;3;3;2
36;No;Research & Development;2;Life Sciences;1;Female;39;Laboratory Technician;Divorced;2835;1;3;0
43;No;Sales;2;Life Sciences;3;Male;92;Manager;Married;16959;4;4;4
30;No;Research & Development;3;Life Sciences;1;Male;96;Research Scientist;Divorced;2613;3;2;0
33;No;Sales;2;Marketing;3;Male;95;Sales Executive;Married;6146;1;4;0
56;Yes;Research & Development;4;Life Sciences;2;Female;72;Research Scientist;Married;4963;1;3;4
51;No;Research & Development;3;Life Sciences;1;Male;51;Research Director;Single;19537;3;3;15
31;Yes;Sales;4;Life Sciences;2;Male;76;Sales Executive;Married;6172;2;2;7
26;No;Research & Development;3;Other;3;Female;46;Research Scientist;Married;2368;3;2;4
58;Yes;Research & Development;4;Medical;4;Female;94;Healthcare Representative;Married;10312;4;2;15
19;Yes;Sales;1;Marketing;4;Male;50;Sales Representative;Single;1675;4;2;0
22;No;Research & Development;1;Technical Degree;3;Male;100;Laboratory Technician;Married;2523;3;3;2
49;No;Research & Development;4;Medical;3;Female;96;Manufacturing Director;Married;6567;3;2;5
43;No;Research & Development;3;Medical;2;Female;72;Research Scientist;Single;4739;4;3;1
50;No;Sales;3;Marketing;3;Female;77;Sales Executive;Single;9208;4;3;2
31;Yes;Sales;3;Life Sciences;2;Female;71;Sales Executive;Married;4559;3;3;2
41;No;Sales;1;Life Sciences;3;Male;96;Sales Executive;Divorced;8189;3;3;0
26;No;Human Resources;1;Life Sciences;3;Female;61;Human Resources;Married;2942;4;3;5
36;No;Research & Development;2;Medical;2;Male;84;Manufacturing Director;Divorced;4941;4;3;0
51;Yes;Research & Development;4;Life Sciences;1;Male;53;Manufacturing Director;Single;10650;4;3;0
39;No;Sales;4;Life Sciences;4;Female;47;Sales Executive;Married;5902;3;4;5
25;No;Sales;3;Life Sciences;1;Male;41;Sales Executive;Married;8639;4;3;2
30;No;Human Resources;3;Human Resources;3;Male;48;Human Resources;Married;6347;4;1;4
32;Yes;Research & Development;3;Medical;1;Female;41;Laboratory Technician;Single;4200;1;4;0
45;No;Research & Development;3;Medical;3;Male;83;Research Scientist;Single;3452;2;2;0
38;No;Research & Development;5;Technical Degree;4;Female;32;Research Scientist;Single;4317;2;3;2
30;No;Research & Development;3;Life Sciences;1;Female;75;Research Scientist;Single;2632;3;2;0
32;No;Sales;2;Medical;4;Male;35;Sales Executive;Divorced;4668;4;4;0
30;No;Research & Development;3;Technical Degree;4;Female;84;Research Scientist;Divorced;3204;4;3;2
30;No;Research & Development;1;Medical;2;Male;35;Laboratory Technician;Single;2720;4;3;1
41;No;Research & Development;3;Life Sciences;4;Male;91;Manager;Divorced;17181;2;2;7
41;No;Research & Development;4;Life Sciences;3;Male;94;Laboratory Technician;Married;2238;4;3;1
19;No;Research & Development;1;Medical;2;Female;79;Laboratory Technician;Single;1483;4;3;0
40;No;Research & Development;3;Medical;2;Female;54;Research Scientist;Divorced;5605;1;3;2
35;No;Sales;5;Marketing;3;Male;94;Sales Executive;Married;7295;1;3;0
53;No;Sales;2;Marketing;2;Male;34;Sales Representative;Married;2306;4;1;4
45;No;Research & Development;3;Life Sciences;2;Male;60;Laboratory Technician;Divorced;2348;3;1;0
32;No;Sales;3;Marketing;2;Female;43;Sales Executive;Single;8998;4;3;3
29;No;Research & Development;1;Technical Degree;4;Male;41;Manufacturing Director;Married;4319;1;3;0
51;No;Research & Development;4;Medical;2;Male;34;Manufacturing Director;Married;6132;3;3;0
58;No;Research & Development;3;Medical;2;Female;75;Research Scientist;Married;3346;2;2;0
40;No;Sales;4;Marketing;3;Male;67;Sales Executive;Married;10855;1;2;2
34;No;Sales;4;Marketing;3;Female;75;Sales Representative;Married;2231;4;3;1
22;No;Research & Development;1;Medical;3;Male;80;Research Scientist;Married;2323;1;3;2
27;No;Research & Development;3;Medical;4;Male;57;Research Scientist;Divorced;2024;4;1;2
28;No;Research & Development;3;Medical;3;Male;42;Research Scientist;Married;2713;3;1;0
57;No;Research & Development;2;Life Sciences;3;Male;83;Healthcare Representative;Divorced;9439;2;1;1
27;No;Research & Development;3;Medical;3;Male;79;Research Scientist;Divorced;2566;4;2;0
50;No;Research & Development;3;Life Sciences;3;Female;53;Manager;Single;19926;2;3;4
41;No;Research & Development;3;Life Sciences;1;Male;56;Research Scientist;Divorced;2451;1;3;1
30;No;Sales;3;Life Sciences;2;Female;41;Sales Executive;Married;9419;3;3;7
38;No;Sales;4;Life Sciences;1;Female;59;Sales Executive;Single;8686;3;4;0
32;No;Research & Development;5;Life Sciences;3;Male;43;Research Scientist;Single;3038;1;3;1
27;No;Research & Development;3;Technical Degree;3;Male;51;Research Scientist;Married;3058;4;2;1
19;Yes;Sales;1;Technical Degree;3;Female;100;Sales Representative;Single;2325;1;4;0
36;No;Research & Development;2;Medical;4;Male;30;Laboratory Technician;Single;2088;3;2;7
30;No;Research & Development;3;Medical;3;Male;66;Laboratory Technician;Divorced;3072;3;3;6
45;No;Sales;2;Life Sciences;3;Female;30;Sales Executive;Divorced;5006;1;4;0
56;No;Research & Development;3;Life Sciences;3;Female;67;Research Scientist;Divorced;4257;3;3;2
33;No;Research & Development;3;Life Sciences;3;Male;90;Research Scientist;Single;2500;1;4;0
19;Yes;Research & Development;3;Life Sciences;2;Male;47;Laboratory Technician;Single;1102;3;2;1
46;No;Sales;2;Marketing;2;Female;92;Sales Executive;Divorced;10453;3;3;15
38;No;Research & Development;2;Life Sciences;3;Female;75;Laboratory Technician;Single;2288;3;3;2
31;No;Research & Development;1;Medical;3;Female;95;Research Scientist;Married;3929;3;3;0
34;No;Research & Development;2;Medical;4;Female;95;Research Scientist;Single;2311;4;3;1
41;Yes;Sales;2;Marketing;2;Female;70;Sales Representative;Single;3140;4;2;0
50;No;Research & Development;3;Medical;3;Male;86;Laboratory Technician;Married;3690;4;2;0
53;No;Research & Development;2;Medical;4;Female;57;Manufacturing Director;Divorced;4450;3;3;1
33;No;Research & Development;3;Medical;4;Female;72;Research Scientist;Married;2756;4;3;1
40;No;Research & Development;1;Medical;4;Female;46;Manager;Married;19033;2;3;9
55;No;Research & Development;4;Medical;3;Male;61;Research Director;Single;18722;4;3;2
34;No;Research & Development;1;Life Sciences;4;Male;45;Manufacturing Director;Married;9547;3;2;1
51;No;Research & Development;3;Medical;4;Female;98;Healthcare Representative;Single;13734;3;3;1
52;No;Research & Development;4;Life Sciences;3;Male;65;Manager;Married;19999;1;3;11
27;No;Research & Development;3;Medical;4;Female;99;Research Scientist;Single;2279;4;2;0
35;Yes;Research & Development;2;Life Sciences;2;Male;50;Manufacturing Director;Married;5916;1;3;0
43;No;Research & Development;3;Medical;4;Male;37;Research Scientist;Divorced;2089;4;4;2
45;No;Research & Development;2;Medical;1;Male;65;Manager;Married;16792;4;3;11
37;No;Research & Development;3;Life Sciences;2;Male;65;Research Scientist;Married;3564;1;2;1
35;No;Research & Development;3;Medical;2;Female;37;Laboratory Technician;Single;4425;4;3;1
42;No;Research & Development;2;Medical;3;Female;36;Manufacturing Director;Divorced;5265;2;3;0
38;No;Research & Development;4;Life Sciences;4;Male;88;Manufacturing Director;Married;6553;2;3;0
38;No;Research & Development;3;Technical Degree;4;Male;54;Manufacturing Director;Married;6261;1;1;1
27;No;Research & Development;1;Technical Degree;3;Male;60;Manufacturing Director;Married;4298;3;3;2
49;No;Research & Development;4;Life Sciences;4;Male;92;Manufacturing Director;Divorced;6804;1;3;1
34;No;Research & Development;4;Medical;4;Male;43;Research Scientist;Divorced;3815;4;4;2
40;No;Research & Development;2;Medical;3;Male;99;Laboratory Technician;Married;2741;3;4;3
38;Yes;Research & Development;1;Medical;2;Male;70;Healthcare Representative;Married;6673;2;3;0
29;Yes;Sales;3;Marketing;2;Female;35;Sales Executive;Married;7639;4;2;1
22;No;Research & Development;3;Life Sciences;4;Male;60;Research Scientist;Divorced;2328;1;2;2
36;No;Research & Development;1;Medical;2;Female;73;Laboratory Technician;Single;2153;1;3;1
40;No;Research & Development;5;Life Sciences;4;Male;63;Healthcare Representative;Married;4876;4;1;0
46;No;Research & Development;4;Medical;4;Male;97;Healthcare Representative;Divorced;9396;3;3;0
32;Yes;Sales;4;Medical;4;Male;32;Sales Executive;Married;10400;3;2;9
30;No;Research & Development;1;Life Sciences;3;Male;88;Manufacturing Director;Single;8474;3;3;5
27;No;Sales;3;Life Sciences;4;Female;90;Sales Executive;Single;9981;4;3;0
51;No;Research & Development;4;Life Sciences;2;Male;81;Research Director;Married;12490;4;1;4
30;Yes;Research & Development;3;Technical Degree;4;Female;88;Research Scientist;Single;2657;3;3;0
41;No;Sales;3;Life Sciences;4;Female;75;Manager;Single;13591;3;3;0
30;Yes;Sales;4;Marketing;3;Female;52;Sales Executive;Single;6696;3;2;0
29;Yes;Research & Development;3;Technical Degree;3;Male;85;Research Scientist;Single;2058;4;2;1
45;No;Sales;3;Medical;4;Female;57;Sales Executive;Single;8865;4;3;12
54;No;Sales;3;Marketing;4;Female;52;Sales Executive;Married;5940;4;3;0
36;No;Research & Development;2;Life Sciences;4;Male;62;Laboratory Technician;Single;5914;4;4;3
33;No;Research & Development;4;Medical;3;Female;47;Research Scientist;Married;2622;4;3;1
37;No;Research & Development;3;Other;2;Male;47;Research Director;Divorced;12185;3;3;0
38;No;Sales;3;Life Sciences;1;Male;76;Sales Executive;Divorced;10609;3;2;5
31;No;Research & Development;4;Medical;3;Male;90;Manufacturing Director;Married;4345;4;3;1
59;No;Research & Development;3;Life Sciences;3;Male;70;Research Scientist;Married;2177;1;3;0
37;No;Sales;4;Marketing;1;Male;41;Sales Representative;Divorced;2793;3;3;5
29;No;Sales;1;Medical;2;Female;42;Sales Executive;Married;7918;4;3;4
35;No;Sales;3;Marketing;3;Female;92;Sales Executive;Single;8789;1;4;0
29;Yes;Research & Development;1;Medical;3;Male;86;Research Scientist;Single;2389;3;2;0
52;No;Research & Development;3;Life Sciences;3;Female;89;Laboratory Technician;Single;3212;2;2;2
42;No;Research & Development;2;Technical Degree;3;Male;58;Manager;Married;19232;4;3;11
59;No;Human Resources;2;Medical;2;Male;52;Human Resources;Married;2267;4;2;2
50;No;Sales;4;Medical;4;Female;68;Manager;Divorced;19517;3;2;0
33;Yes;Research & Development;3;Medical;3;Male;58;Laboratory Technician;Married;2436;3;1;0
43;No;Sales;3;Marketing;4;Female;80;Manager;Married;16064;3;3;1
33;Yes;Research & Development;2;Life Sciences;1;Female;39;Laboratory Technician;Married;2707;1;4;1
52;No;Sales;4;Life Sciences;1;Male;79;Manager;Single;19068;4;4;15
32;No;Sales;2;Life Sciences;3;Female;56;Sales Representative;Married;3931;1;3;1
32;Yes;Research & Development;3;Life Sciences;4;Male;62;Laboratory Technician;Single;3730;4;1;1
39;No;Research & Development;4;Medical;3;Female;96;Laboratory Technician;Divorced;2232;3;3;1
32;No;Sales;4;Marketing;3;Male;100;Sales Executive;Married;4465;1;3;2
41;No;Research & Development;2;Life Sciences;3;Male;36;Research Scientist;Divorced;3072;1;2;0
40;No;Research & Development;2;Technical Degree;1;Male;62;Research Scientist;Divorced;3319;1;3;4
45;No;Research & Development;3;Other;3;Male;70;Manager;Married;19202;3;3;1
31;No;Research & Development;4;Medical;2;Male;73;Research Director;Divorced;13675;1;3;2
33;No;Research & Development;4;Life Sciences;3;Female;63;Research Scientist;Married;2911;3;2;0
34;No;Research & Development;4;Life Sciences;4;Male;84;Manufacturing Director;Married;5957;2;3;5
37;No;Research & Development;2;Medical;3;Female;83;Research Scientist;Married;3920;1;2;0
45;No;Research & Development;4;Life Sciences;1;Male;77;Manufacturing Director;Married;6434;4;3;0
37;Yes;Research & Development;3;Medical;1;Male;61;Manufacturing Director;Divorced;10048;2;3;0
39;No;Research & Development;4;Technical Degree;3;Female;64;Healthcare Representative;Single;10938;4;3;11
29;No;Research & Development;3;Life Sciences;3;Male;60;Research Scientist;Single;2340;1;3;1
42;No;Research & Development;2;Life Sciences;4;Female;82;Research Scientist;Single;6545;3;3;0
29;No;Sales;2;Marketing;4;Male;45;Sales Executive;Divorced;6931;4;3;0
25;No;Research & Development;3;Life Sciences;1;Female;62;Manufacturing Director;Married;4898;4;3;1
42;No;Research & Development;3;Medical;4;Female;56;Laboratory Technician;Divorced;2593;3;3;7
40;No;Research & Development;2;Medical;1;Male;49;Research Director;Divorced;19436;4;3;3
51;No;Research & Development;3;Life Sciences;3;Male;96;Research Scientist;Married;2723;2;2;0
31;Yes;Research & Development;2;Medical;3;Male;71;Laboratory Technician;Single;3479;2;4;1
32;No;Research & Development;3;Life Sciences;2;Male;100;Laboratory Technician;Married;2794;3;1;0
38;No;Sales;2;Life Sciences;4;Male;39;Sales Executive;Married;5249;4;3;7
32;No;Research & Development;1;Technical Degree;4;Male;84;Laboratory Technician;Single;2176;4;3;0
46;No;Sales;3;Technical Degree;3;Female;75;Manager;Married;16872;2;2;7
28;Yes;Research & Development;4;Life Sciences;1;Male;79;Laboratory Technician;Single;3485;3;1;0
29;No;Sales;3;Medical;1;Male;78;Sales Executive;Married;6644;2;3;0
31;No;Research & Development;3;Medical;2;Male;64;Healthcare Representative;Married;5582;2;3;7
25;No;Research & Development;2;Life Sciences;2;Male;85;Healthcare Representative;Divorced;4000;4;3;1
45;No;Research & Development;2;Medical;3;Male;79;Healthcare Representative;Married;13496;2;3;4
36;No;Research & Development;3;Life Sciences;4;Male;47;Laboratory Technician;Married;3210;3;3;10
55;No;Research & Development;3;Medical;4;Male;81;Manager;Single;19045;3;3;4
47;Yes;Research & Development;4;Life Sciences;1;Male;88;Manager;Married;11849;4;2;9
28;No;Research & Development;3;Medical;4;Male;94;Research Scientist;Married;2070;4;2;0
37;No;Sales;4;Medical;3;Male;98;Sales Executive;Married;6502;2;4;0
21;No;Research & Development;2;Medical;4;Male;100;Research Scientist;Single;3230;1;4;1
37;No;Research & Development;4;Medical;1;Female;80;Research Director;Divorced;13603;1;3;0
35;No;Research & Development;3;Life Sciences;2;Female;71;Manager;Divorced;11996;2;2;6
38;No;Sales;2;Medical;1;Female;44;Sales Executive;Divorced;5605;3;3;7
26;No;Research & Development;3;Life Sciences;3;Female;84;Manufacturing Director;Divorced;6397;1;1;1
50;No;Research & Development;1;Life Sciences;1;Male;96;Research Director;Divorced;19144;1;2;1
53;No;Research & Development;4;Medical;3;Male;45;Research Director;Married;17584;4;2;1
42;No;Sales;1;Life Sciences;2;Male;99;Sales Executive;Married;4907;3;3;11
29;No;Sales;2;Life Sciences;2;Male;44;Sales Executive;Single;4554;1;2;0
55;No;Research & Development;2;Technical Degree;2;Male;37;Laboratory Technician;Married;5415;4;3;0
26;No;Research & Development;2;Medical;1;Male;60;Healthcare Representative;Married;4741;3;3;3
37;No;Research & Development;3;Life Sciences;4;Female;42;Research Scientist;Single;2115;2;3;5
44;Yes;Research & Development;3;Life Sciences;4;Male;43;Laboratory Technician;Divorced;3161;4;1;0
38;No;Research & Development;4;Life Sciences;4;Male;82;Healthcare Representative;Divorced;5745;2;3;1
26;Yes;Research & Development;4;Medical;1;Male;45;Laboratory Technician;Divorced;2373;4;3;0
28;No;Research & Development;2;Life Sciences;4;Female;66;Research Scientist;Single;3310;4;3;0
49;No;Research & Development;4;Life Sciences;3;Female;35;Research Director;Single;18665;4;3;1
36;No;Research & Development;3;Technical Degree;3;Male;30;Research Scientist;Single;4485;4;3;7
31;No;Sales;3;Marketing;4;Female;84;Sales Representative;Divorced;2789;3;2;2
26;Yes;Sales;4;Marketing;4;Male;48;Sales Executive;Single;5828;2;3;7
37;No;Research & Development;3;Medical;2;Male;53;Research Scientist;Married;2326;3;2;1
42;No;Sales;3;Marketing;3;Female;77;Sales Executive;Married;13525;4;4;4
18;Yes;Research & Development;3;Life Sciences;3;Male;54;Laboratory Technician;Single;1420;3;3;0
35;No;Sales;3;Marketing;3;Male;96;Sales Executive;Married;8020;3;2;6
36;No;Research & Development;4;Life Sciences;3;Male;81;Laboratory Technician;Married;3688;4;3;0
51;No;Research & Development;3;Medical;4;Male;84;Manufacturing Director;Divorced;5482;4;3;1
41;No;Sales;4;Life Sciences;4;Male;88;Manager;Single;16015;2;3;0
18;No;Sales;3;Medical;4;Female;69;Sales Representative;Single;1200;1;3;0
28;No;Research & Development;2;Medical;2;Male;68;Healthcare Representative;Single;5661;3;3;0
31;No;Sales;3;Technical Degree;2;Male;100;Sales Executive;Married;6929;2;2;7
39;No;Research & Development;3;Medical;3;Male;48;Healthcare Representative;Divorced;9613;1;2;3
36;No;Research & Development;4;Life Sciences;2;Female;47;Laboratory Technician;Married;5674;3;3;0
32;No;Sales;3;Life Sciences;4;Male;91;Sales Executive;Married;5484;3;2;4
38;No;Research & Development;2;Life Sciences;1;Female;81;Research Director;Married;12061;3;3;0
58;No;Research & Development;4;Life Sciences;4;Male;32;Healthcare Representative;Divorced;5660;4;3;1
31;No;Research & Development;4;Technical Degree;3;Male;86;Research Scientist;Married;4821;3;3;0
31;No;Human Resources;3;Human Resources;1;Male;62;Human Resources;Married;6410;4;3;1
